user_id,experiment_group,experiment_week,experiment_day,user_type,device,checkout_conversion,aov_idr,payment_failure,session_duration_sec
1936,control,2,11,returning,mobile,1,145890.52,0,161.7
6495,treatment,1,4,returning,mobile,0,,0,82.4
1721,control,2,11,returning,mobile,0,,0,267.0
9121,treatment,1,3,returning,desktop,0,,0,38.0
361,treatment,1,7,new,desktop,1,140507.35,0,187.5
9664,treatment,2,14,returning,desktop,0,,0,106.1
5278,treatment,2,10,returning,desktop,0,,0,74.9
8547,treatment,2,14,returning,mobile,0,,0,182.9
2222,control,1,7,returning,mobile,0,,0,148.4
4618,treatment,3,21,returning,mobile,0,,0,133.8
3466,treatment,1,7,returning,desktop,0,,0,143.4
1409,treatment,1,4,new,mobile,0,,0,255.4
469,control,1,4,returning,mobile,0,,0,188.8
1176,treatment,1,5,returning,mobile,1,3992946.47,0,101.0
5225,control,3,19,returning,mobile,0,,0,252.9
8129,treatment,1,5,returning,desktop,1,256793.6,0,95.4
425,treatment,1,6,returning,mobile,0,,0,148.8
7048,control,1,5,returning,desktop,0,,0,211.4
2484,control,1,5,returning,mobile,0,,0,130.2
1826,control,3,21,returning,desktop,1,3892265.31,1,164.5
10558,control,3,19,returning,mobile,1,119718.57,0,152.9
1484,control,1,1,returning,mobile,0,,0,77.8
9291,control,3,21,returning,mobile,0,,0,210.3
9710,treatment,3,21,returning,desktop,0,,0,100.2
1651,control,3,20,new,mobile,0,,0,172.7
9787,control,1,3,returning,mobile,0,,0,165.4
2814,control,1,4,returning,desktop,1,60868.96,0,241.9
3705,control,2,8,returning,mobile,0,,0,215.7
6119,treatment,2,13,returning,mobile,0,,0,117.8
5043,control,1,6,new,desktop,0,,0,224.7
11209,treatment,3,15,new,mobile,0,,0,117.8
7239,control,2,8,new,desktop,0,,0,185.9
11506,control,3,17,returning,mobile,1,124019.27,0,215.8
11075,treatment,1,4,new,mobile,1,296041.43,0,134.9
10997,control,1,6,new,desktop,0,,0,112.9
5000,treatment,2,11,new,desktop,0,,1,121.5
8481,control,2,11,returning,desktop,0,,0,198.6
9268,treatment,1,7,returning,mobile,0,,0,109.1
8399,treatment,1,6,new,mobile,0,,0,157.6
2632,control,1,2,returning,mobile,0,,0,226.5
3132,treatment,1,6,returning,mobile,0,,0,216.3
9584,treatment,2,8,returning,mobile,1,233429.6,0,165.0
8219,control,3,18,new,desktop,0,,0,237.1
9277,treatment,1,7,returning,mobile,0,,0,137.1
3814,control,3,20,returning,mobile,0,,0,200.4
5887,control,3,20,returning,mobile,1,130808.16,0,125.4
5083,control,2,10,returning,mobile,0,,0,174.1
11816,treatment,1,2,returning,mobile,0,,0,156.4
8824,treatment,2,14,returning,mobile,1,91455.24,0,86.6
1218,treatment,2,13,new,desktop,0,,0,64.3
3992,control,3,17,new,mobile,0,,0,96.1
11148,control,3,20,new,mobile,0,,0,166.4
7616,treatment,1,5,returning,mobile,0,,0,219.8
10692,treatment,3,20,new,desktop,0,,0,170.0
10185,control,3,16,returning,mobile,0,,0,103.3
1684,control,3,15,returning,mobile,0,,0,136.3
4575,treatment,3,15,returning,mobile,0,,0,184.2
11541,treatment,3,15,new,mobile,0,,0,177.8
10751,control,3,21,new,mobile,0,,0,159.3
11284,control,3,16,new,desktop,0,,0,159.8
7563,control,1,6,returning,mobile,0,,0,180.7
